id,tipo,numero,anio,fecha,titulo,len_contenido,chars_texto,paginas,pdf_local,inicio
45,circular,25,2012,2012-05-07,Circular NḞ 25 del 07 de Mayo del 2012,895422,895422,323,pdfs/circular/2012/circular_historica_2012_circu25.pdf,"Circular NḞ 25 del 07 de Mayo del 2012

1
CIRCULAR N° 25, DEL 7 DE MAYO DE 2012 
MATERIA: TEXTO ACTUALIZADO DE RESOLUCIONES EXENTAS QUE ESTABLECEN 
OBLIGACIONES 
A 
LAS 
EMPRESAS 
O 
SOCIEDADES 
DE 
PRESENTAR 
AL 
S.I.I. 
DECLARACIONES JURADAS CON INFORMACIÓN RELACIONADA CON LOS IMPUESTOS 
ANUALES A"
19,circular,51,2012,2012-11-08,Circular NḞ 51 del 08 de Noviembre del 2012,40043,40043,14,pdfs/circular/2012/circular_historica_2012_circu51.pdf,"Circular NḞ 51 del 08 de Noviembre del 2012

DEPARTAMENTO EMISOR 
 IMPUESTOS INDIRECTOS 
 
CIRCULAR N° 51.- 
 
SISTEMA DE PUBLICACIONES 
ADMINISTRATIVAS 
FECHA: 
8 de noviembre de 2012. 
 
MATERIA: 
Imparte instrucciones para la aplicación de 
la 
Ley 
20.493, 
la 
cual 
crea 
nuevos 
mecanismos 
de"
21,circular,49,2012,2012-11-05,Circular NḞ 49 del 05 de Noviembre del 2012,33718,33718,9,pdfs/circular/2012/circular_historica_2012_circu49.pdf,"Circular NḞ 49 del 05 de Noviembre del 2012

1 
 
DEPARTAMENTO EMISOR 
 IMPUESTOS DIRECTOS 
 1875 
 
CIRCULAR N° 49.- 
05-2012 SN 
24-2012 ID 
SISTEMA DE PUBLICACIONES ADMINISTRATIVAS 
 
FECHA: 05 de noviembre de 2012 
MATERIA: 
 
Instruye sobre las modificaciones efectuadas por 
la Ley 20.565, al t"
25,circular,45,2012,2012-09-24,Circular NḞ 45 del 24 de Septiembre del 2012,21919,21919,6,pdfs/circular/2012/circular_historica_2012_circu45.pdf,"Circular NḞ 45 del 24 de Septiembre del 2012

DEPARTAMENTO EMISOR 
IMPUESTOS DIRECTOS 
1875 
CIRCULAR N° 45 
110.2012 ID 
 08-2012 SN Circ. 
SISTEMA DE PUBLICACIONES ADMINISTRATIVAS 
FECHA: 24 de septiembre de 2012.- 
MATERIA: 
 
EXENCIONES DE IMPUESTOS QUE BENEFICIAN 
A LAS IGLESIAS, CONFESIONES Y "
22,circular,48,2012,2012-10-19,Circular NḞ 48 del 19 de Octubre del 2012,21799,21799,6,pdfs/circular/2012/circular_historica_2012_circu48.pdf,"Circular NḞ 48 del 19 de Octubre del 2012

DEPARTAMENTO EMISOR 
 IMPUESTOS DIRECTOS 
 1875 
 
CIRCULAR N° 48 
SISTEMA DE PUBLICACIONES ADMINISTRATIVAS 
 
FECHA: 19 de octubre de 2012 
122-2012 ID 
009-2012 SN Circ. 
MATERIA: Instruye sobre las modificaciones 
introducidas por la Ley 20.630, del 27 d"
60,circular,8,2012,2011-12-17,Circular Nº 08 del 31 de Enero del 2012,18646,18646,4,pdfs/circular/2012/circular_historica_2012_circu08_html.pdf,"Circular Nº 08 del 31 de Enero del 2012

MATERIA: Modificaciones introducidas a la LIR y al D.L. Nº 3500, de 1980, por la Ley 20.552.

CIRCULAR Nº 08 DEL 31 DE ENERO DEL 2012
MATERIA : MODIFICACIONES INTRODUCIDAS A LA LIR Y AL D.L. Nº 3500, DE 1980, POR LA LEY 20.552.
I.- INTRODUCCIÓN.
1. En el Diar"
59,circular,9,2012,2012-01-31,Circular NḞ 09 del 31 de Enero del 2012,16146,16146,5,pdfs/circular/2012/circular_historica_2012_circu09.pdf,"Circular NḞ 09 del 31 de Enero del 2012

Dejada sin efecto
CIRCULAR N° 9, DEL 31 DE ENERO DE 2012 
MATERIA: TRIBUTACIÓN DE LAS IGLESIAS Y ENTIDADES RELIGIOSAS CON PERSONALIDAD JURÍDICA, 
Y DE LAS ASOCIACIONES, CORPORACIONES, FUNDACIONES Y OTROS ORGANISMOS CREADOS POR 
ELLAS.
I.- INTRODUCCIÓN.
Con el"
58,circular,10,2012,2012-01-31,Circular NḞ 10 del 31 de Enero del 2012,13395,13395,4,pdfs/circular/2012/circular_historica_2012_circu10.pdf,"Circular NḞ 10 del 31 de Enero del 2012

CIRCULAR N° 10, DEL 31 DE ENERO DE 2012 
MATERIA : REQUISITOS PARA QUE UN VALOR SEA CONSIDERADO DE PRESENCIA BURSÁTIL 
PARA EFECTOS DE LA APLICACIÓN DEL ARTÍCULO 57 BIS, LETRA A), N°10 Y DEL ARTÍCULO 
107 DE LA LIR. 
I.- 
INTRODUCCIÓN. 
1.- 
El artículo 107 d"
11,circular,59,2012,2012-12-31,Circular NḞ 59 del 31 de Diciembre del 2012,9798,9798,4,pdfs/circular/2012/circular_historica_2012_circu59.pdf,"Circular NḞ 59 del 31 de Diciembre del 2012

DEPARTAMENTO EMISOR 
 SUBDIRECCIÓN DE RECURSOS HUMANOS 
 
CIRCULAR N° 59 
 
SISTEMA DE PUBLICACIONES ADMINISTRATIVAS 
FECHA: 31 de diciembre de 2012.- 
 
MATERIA: 
Define Política contra la Discriminación, que 
entrega lineamientos de actuación para todos"
13,circular,57,2012,2012-12-11,Circular NḞ 57 del 11 de Diciembre del 2012,9647,9647,3,pdfs/circular/2012/circular_historica_2012_circu57.pdf,"Circular NḞ 57 del 11 de Diciembre del 2012

DEPARTAMENTO EMISOR 
OFICINA DE GESTIÓN NORMATIVA 
 
 
CIRCULAR N° 57 
 
SISTEMA DE PUBLICACIONES ADMINISTRATIVAS 
FECHA: 11 de diciembre de 2012.- 
 
TABLAS DEL IMPUESTO ÚNICO DE SEGUNDA 
CATEGORÍA 
Y 
DEL 
IMPUESTO 
GLOBAL 
COMPLEMENTARIO PARA EL MES DE"
